LSOA11NM,LAD19NM,Decile
Bexley 009B,Bexley,10
Bexley 009C,Bexley,9
Bexley 009D,Bexley,9
Bexley 009E,Bexley,5
Bexley 009F,Bexley,9
Bexley 009G,Bexley,9
Bexley 010A,Bexley,3
Bexley 010B,Bexley,2
Bexley 010C,Bexley,3
Bexley 010D,Bexley,4
Bexley 010E,Bexley,3
Bexley 011A,Bexley,10
Bexley 011B,Bexley,5
Bexley 011C,Bexley,9
Bexley 011D,Bexley,9
Bexley 011E,Bexley,10
Bexley 013A,Bexley,5
Bexley 013B,Bexley,9
Bexley 013C,Bexley,5
Bexley 013D,Bexley,9
Bexley 013E,Bexley,9
Bexley 014A,Bexley,10
Bexley 014B,Bexley,7
Bexley 014C,Bexley,6
Bexley 014D,Bexley,7
Bexley 014E,Bexley,9
Bexley 015A,Bexley,5
Bexley 015B,Bexley,7
Bexley 015C,Bexley,6
Bexley 015D,Bexley,8
Bexley 015E,Bexley,8
Bexley 016A,Bexley,8
Bexley 016B,Bexley,4
Bexley 016C,Bexley,9
Bexley 016D,Bexley,8
Bexley 016E,Bexley,7
Bexley 016F,Bexley,9
Bexley 017A,Bexley,9
Bexley 017B,Bexley,7
Bexley 017C,Bexley,6
Bexley 017D,Bexley,5
Bexley 017E,Bexley,3
Bexley 018A,Bexley,7
Bexley 018B,Bexley,10
Bexley 018C,Bexley,9
Bexley 018D,Bexley,9
Bexley 018E,Bexley,9
Bexley 018F,Bexley,8
Bexley 019A,Bexley,2
Bexley 019B,Bexley,5
Bexley 019C,Bexley,6
Bexley 019D,Bexley,7
Bexley 019E,Bexley,5
Bexley 019F,Bexley,5
Bexley 020A,Bexley,10
Bexley 020B,Bexley,9
Bexley 020C,Bexley,8
Bexley 020D,Bexley,8
Bexley 020E,Bexley,8
Bexley 020F,Bexley,8
Bexley 020G,Bexley,8
Bexley 021A,Bexley,8
Bexley 021B,Bexley,8
Bexley 021C,Bexley,9
Bexley 021D,Bexley,6
Bexley 021E,Bexley,7
Bexley 022A,Bexley,8
Bexley 022B,Bexley,8
Bexley 022C,Bexley,9
Bexley 022D,Bexley,9
Bexley 022E,Bexley,10
Bexley 023A,Bexley,7
Bexley 023B,Bexley,9
Bexley 023C,Bexley,8
Bexley 023D,Bexley,10
Bexley 023E,Bexley,10
Bexley 024A,Bexley,9
Bexley 024B,Bexley,5
Bexley 024C,Bexley,10
Bexley 024D,Bexley,9
Bexley 024E,Bexley,9
Bexley 025A,Bexley,6
Bexley 025B,Bexley,9
Bexley 025C,Bexley,10
Bexley 025D,Bexley,9
Bexley 025E,Bexley,10
Bexley 026A,Bexley,9
Bexley 026B,Bexley,8
Bexley 026C,Bexley,7
Bexley 026D,Bexley,7
Bexley 026E,Bexley,6
Bexley 027A,Bexley,9
Bexley 027B,Bexley,7
Bexley 027C,Bexley,7
Bexley 027D,Bexley,4
Bexley 027E,Bexley,10
Bexley 027F,Bexley,6
Bexley 028A,Bexley,3
Bexley 028B,Bexley,5
Bexley 028C,Bexley,3
Bexley 028D,Bexley,2
Bexley 029A,Bexley,5
Bexley 029B,Bexley,8
Bexley 029C,Bexley,6
Bexley 029D,Bexley,4
Brent 001A,Brent,6
Brent 001B,Brent,5
Brent 001C,Brent,5
Brent 001D,Brent,5
Brent 001E,Brent,5
Brent 001F,Brent,6
Brent 002A,Brent,6
Brent 002B,Brent,6
Brent 002C,Brent,5
Brent 002D,Brent,5
Brent 002E,Brent,4
Brent 003A,Brent,3
Brent 003B,Brent,7
Brent 003E,Brent,5
Brent 003F,Brent,5
Brent 003G,Brent,7
Brent 004A,Brent,8
Brent 004B,Brent,8
Brent 004C,Brent,8
Brent 004D,Brent,8
Brent 004E,Brent,6
Brent 005A,Brent,4
Brent 005B,Brent,5
Brent 005C,Brent,6
Brent 005D,Brent,5
Brent 005E,Brent,6
Brent 006A,Brent,7
Brent 006B,Brent,2
Brent 006C,Brent,3
Brent 006D,Brent,6
Brent 006E,Brent,6
Brent 007A,Brent,7
Brent 007B,Brent,7
Brent 007C,Brent,8
Brent 007D,Brent,6
Brent 007E,Brent,3
Brent 008A,Brent,8
Brent 008B,Brent,8
Brent 008C,Brent,6
Brent 008D,Brent,6
Brent 008E,Brent,8
Brent 009A,Brent,6
Brent 009B,Brent,3
Brent 009C,Brent,2
Brent 009D,Brent,2
Brent 009E,Brent,4
Brent 010B,Brent,3
Brent 010D,Brent,3
Brent 010E,Brent,2
Brent 010F,Brent,3
Brent 011A,Brent,4
Brent 011B,Brent,3
Brent 011C,Brent,2
Brent 011D,Brent,3
Brent 011E,Brent,3
Brent 012A,Brent,4
Brent 012B,Brent,4
Brent 012C,Brent,6
Brent 012D,Brent,3
Brent 013A,Brent,6
Brent 013B,Brent,4
Brent 013C,Brent,5
Brent 013D,Brent,4
Brent 013E,Brent,4
Brent 014A,Brent,3
Brent 014B,Brent,2
Brent 014C,Brent,3
Brent 014D,Brent,3
Brent 014E,Brent,2
Brent 014F,Brent,2
Brent 015A,Brent,3
Brent 015B,Brent,5
Brent 015C,Brent,6
Brent 015D,Brent,3
Brent 015E,Brent,4
Brent 015F,Brent,3
Brent 016A,Brent,5
Brent 016B,Brent,5
Brent 016C,Brent,5
Brent 016D,Brent,4
Brent 017B,Brent,5
Brent 017C,Brent,4
Brent 017D,Brent,4
Brent 017E,Brent,5
Brent 017F,Brent,4
Brent 017G,Brent,5
Brent 018A,Brent,5
Brent 018B,Brent,5
Brent 018C,Brent,4
Brent 018D,Brent,5
Brent 018E,Brent,4
Brent 019A,Brent,4
Brent 019B,Brent,4
Brent 019C,Brent,6
Brent 019D,Brent,4
Brent 019E,Brent,4
Brent 020A,Brent,4
Brent 020B,Brent,5
Brent 020C,Brent,4
Brent 020D,Brent,3
Brent 020E,Brent,5
Brent 021A,Brent,1
Brent 021B,Brent,1
Brent 021C,Brent,2
Brent 021D,Brent,2
Brent 021E,Brent,2
Brent 021F,Brent,1
Brent 022A,Brent,4
Brent 022B,Brent,4
Brent 022C,Brent,4
Brent 022D,Brent,3
Brent 022E,Brent,4
Brent 023A,Brent,4
Brent 023B,Brent,5
Brent 023C,Brent,3
Brent 023D,Brent,5
Brent 023E,Brent,4
Brent 024A,Brent,3
Brent 024B,Brent,3
Brent 024C,Brent,3
Brent 024D,Brent,1
Brent 025A,Brent,2
Brent 025B,Brent,1
Brent 025C,Brent,3
Brent 025D,Brent,2
Brent 025E,Brent,2
Brent 025F,Brent,1
Brent 026A,Brent,5
Brent 026B,Brent,4
Brent 026C,Brent,5
Brent 026D,Brent,4
Brent 026E,Brent,3
Brent 027A,Brent,1
Brent 027D,Brent,1
Brent 027E,Brent,2
Brent 027F,Brent,1
Brent 028A,Brent,3
Brent 028B,Brent,4
Brent 028C,Brent,4
Brent 028D,Brent,3
Brent 028E,Brent,6
Brent 029A,Brent,4
Brent 029B,Brent,4
Brent 029C,Brent,5
Brent 029D,Brent,4
Brent 029E,Brent,5
Brent 030A,Brent,4
Brent 030B,Brent,5
Brent 030C,Brent,7
Brent 030D,Brent,7
Brent 030E,Brent,6
Brent 031A,Brent,3
Brent 031B,Brent,1
Brent 031C,Brent,2
Brent 031E,Brent,2
Brent 031F,Brent,3
Brent 031G,Brent,2
Brent 031H,Brent,2
Brent 032A,Brent,3
Brent 032B,Brent,5
Brent 032C,Brent,6
Brent 032D,Brent,5
Brent 032E,Brent,5
Brent 033A,Brent,6
Brent 033B,Brent,4
Brent 033C,Brent,4
Brent 033D,Brent,5
Brent 033E,Brent,6
Brent 033F,Brent,7
Brent 034A,Brent,2
Brent 034B,Brent,2
Brent 034C,Brent,2
Brent 034D,Brent,2
Bromley 001A,Bromley,6
Bromley 001B,Bromley,4
Bromley 001C,Bromley,2
Bromley 001D,Bromley,1
Bromley 001E,Bromley,3
Bromley 001F,Bromley,3
Bromley 002A,Bromley,4
Bromley 002B,Bromley,9
Bromley 002C,Bromley,7
Bromley 002D,Bromley,9
Bromley 002E,Bromley,8
Bromley 004A,Bromley,5
Bromley 004B,Bromley,5
Bromley 004C,Bromley,6
Bromley 004D,Bromley,9
Bromley 004E,Bromley,4
Bromley 005A,Bromley,4
Bromley 005B,Bromley,4
Bromley 005C,Bromley,4
Bromley 005D,Bromley,5
Bromley 005E,Bromley,6
Bromley 006A,Bromley,6
Bromley 006B,Bromley,8
Bromley 006C,Bromley,7
Bromley 006D,Bromley,8
Bromley 006E,Bromley,3
Bromley 007A,Bromley,10
Bromley 007B,Bromley,8
Bromley 007C,Bromley,9
Bromley 007D,Bromley,9
Bromley 007E,Bromley,9
Bromley 007F,Bromley,10
Bromley 008A,Bromley,7
Bromley 008B,Bromley,5
Bromley 008C,Bromley,5
Bromley 008D,Bromley,7
Bromley 008E,Bromley,7
Bromley 008F,Bromley,6
Bromley 008G,Bromley,6
Bromley 009A,Bromley,2
Bromley 009B,Bromley,2
Bromley 009C,Bromley,3
Bromley 009D,Bromley,2
Bromley 009E,Bromley,3
Bromley 009F,Bromley,4
Bromley 010A,Bromley,7
Bromley 010B,Bromley,7
Bromley 010C,Bromley,4
Bromley 010D,Bromley,3
Bromley 011A,Bromley,9
Bromley 011B,Bromley,9
Bromley 011C,Bromley,9
Bromley 011D,Bromley,9
Bromley 011E,Bromley,8
Bromley 012A,Bromley,9
Bromley 012B,Bromley,9
Bromley 012C,Bromley,9
Bromley 012D,Bromley,9
Bromley 012E,Bromley,10
Bromley 013A,Bromley,7
Bromley 013B,Bromley,8
Bromley 013C,Bromley,8
Bromley 013D,Bromley,6
Bromley 013E,Bromley,7
Bromley 014A,Bromley,2
Bromley 014B,Bromley,2
Bromley 014C,Bromley,3
Bromley 014D,Bromley,5
Bromley 014E,Bromley,2
Bromley 015A,Bromley,5
Bromley 015B,Bromley,7
Bromley 015C,Bromley,8
Bromley 015D,Bromley,6
Bromley 015E,Bromley,5
Bromley 016A,Bromley,8
Bromley 016B,Bromley,9
Bromley 016C,Bromley,9
Bromley 016D,Bromley,8
Bromley 016E,Bromley,8
Bromley 018A,Bromley,10
Bromley 018B,Bromley,8
Bromley 018C,Bromley,7
Bromley 018D,Bromley,9
Bromley 018E,Bromley,9
Bromley 019A,Bromley,4
Bromley 019B,Bromley,2
Bromley 019C,Bromley,2
Bromley 019D,Bromley,2
Bromley 019E,Bromley,5
Bromley 020A,Bromley,8
Bromley 020B,Bromley,7
Bromley 020C,Bromley,8
Bromley 020D,Bromley,8
Bromley 020E,Bromley,8
Bromley 021A,Bromley,10
Bromley 021B,Bromley,10
Bromley 021C,Bromley,10
Bromley 021D,Bromley,9
Bromley 021E,Bromley,10
Bromley 022A,Bromley,7
Bromley 022B,Bromley,9
Bromley 022C,Bromley,9
Bromley 022D,Bromley,10
Bromley 023A,Bromley,4
Bromley 023B,Bromley,3
Bromley 023C,Bromley,3
Bromley 023D,Bromley,6
Bromley 023E,Bromley,5
Bromley 024A,Bromley,4
Bromley 024B,Bromley,9
Bromley 024C,Bromley,9
Bromley 024D,Bromley,9
Bromley 024E,Bromley,7
Bromley 025A,Bromley,9
Bromley 025B,Bromley,10
Bromley 025C,Bromley,10
Bromley 025D,Bromley,10
Bromley 025E,Bromley,10
Bromley 026A,Bromley,2
Bromley 026B,Bromley,5
Bromley 026C,Bromley,6
Bromley 026D,Bromley,5
Bromley 027A,Bromley,10
Bromley 027B,Bromley,7
Bromley 027C,Bromley,10
Bromley 027D,Bromley,10
Bromley 027E,Bromley,10
Bromley 028A,Bromley,6
Bromley 028B,Bromley,7
Bromley 028C,Bromley,7
Bromley 028D,Bromley,8
Bromley 028E,Bromley,10
Bromley 029A,Bromley,7
Bromley 029B,Bromley,6
Bromley 029C,Bromley,4
Bromley 029D,Bromley,4
Bromley 029E,Bromley,8
Bromley 030A,Bromley,9
Bromley 030B,Bromley,9
Bromley 030C,Bromley,10
Bromley 030D,Bromley,8
Bromley 030E,Bromley,10
Bromley 030F,Bromley,10
Bromley 030G,Bromley,8
Bromley 030H,Bromley,10
Bromley 031A,Bromley,9
Bromley 031B,Bromley,9
Bromley 031C,Bromley,10
Bromley 031D,Bromley,10
Bromley 031E,Bromley,10
Bromley 032A,Bromley,8
Bromley 032B,Bromley,2
Bromley 032C,Bromley,5
Bromley 032D,Bromley,10
Bromley 032E,Bromley,6
Bromley 033A,Bromley,8
Bromley 033B,Bromley,10
Bromley 033C,Bromley,9
Bromley 033D,Bromley,10
Bromley 034A,Bromley,9
Bromley 034B,Bromley,8
Bromley 034C,Bromley,9
Bromley 034D,Bromley,9
Bromley 034E,Bromley,8
Bromley 035A,Bromley,10
Bromley 035B,Bromley,10
Bromley 035C,Bromley,7
Bromley 035D,Bromley,10
Bromley 035E,Bromley,10
Bromley 036A,Bromley,7
Bromley 036B,Bromley,3
Bromley 036C,Bromley,9
Bromley 036D,Bromley,9
Bromley 037A,Bromley,8
Bromley 037B,Bromley,7
Bromley 037C,Bromley,9
Bromley 037D,Bromley,9
Bromley 037E,Bromley,10
Bromley 039A,Bromley,9
Bromley 039B,Bromley,8
Bromley 039C,Bromley,9
Bromley 039D,Bromley,7
Bromley 039E,Bromley,9
Bromley 040A,Bromley,7
Bromley 040B,Bromley,7
Bromley 040C,Bromley,4
Bromley 040D,Bromley,3
Bromley 040E,Bromley,8
Bromley 041A,Bromley,10
Bromley 041B,Bromley,9
Bromley 041C,Bromley,10
Bromley 041D,Bromley,8
Bromley 041E,Bromley,4
Bromley 042A,Bromley,9
Bromley 042B,Bromley,5
Bromley 042C,Bromley,7
Bromley 042D,Bromley,7
Camden 001A,Camden,2
Camden 001B,Camden,3
Camden 001C,Camden,7
Camden 001D,Camden,4
Camden 001E,Camden,8
Camden 002A,Camden,10
Camden 002B,Camden,9
Camden 002C,Camden,9
Camden 002D,Camden,10
Camden 002E,Camden,9
Camden 003A,Camden,8
Camden 003B,Camden,6
Camden 003C,Camden,6
Camden 003D,Camden,5
Camden 003E,Camden,5
Camden 004A,Camden,10
Camden 004B,Camden,10
Camden 004C,Camden,9
Camden 004D,Camden,10
Camden 004E,Camden,9
Camden 005A,Camden,7
Camden 005B,Camden,4
Camden 005C,Camden,9
Camden 005D,Camden,10
Camden 005E,Camden,8
Camden 006A,Camden,8
Camden 006B,Camden,7
Camden 006C,Camden,6
Camden 006D,Camden,6
Camden 006E,Camden,5
Camden 007A,Camden,3
Camden 007B,Camden,2
Camden 007C,Camden,2
Camden 007D,Camden,3
Camden 007E,Camden,4
Camden 007F,Camden,6
Camden 008A,Camden,7
Camden 008B,Camden,10
Camden 008C,Camden,8
Camden 008D,Camden,10
Camden 008E,Camden,7
Camden 009A,Camden,4
Camden 009B,Camden,3
Camden 009C,Camden,7
Camden 009D,Camden,3
Camden 009E,Camden,6
Camden 010A,Camden,9
Camden 010B,Camden,8
