State Code,State,disease,Calendar Year,# Incidents Per 100000 Per Location,Vaccine has been introduced Flag
NH,NEW HAMPSHIRE,SMALLPOX,1939,0,1
NJ,NEW JERSEY,SMALLPOX,1939,0,1
RI,RHODE ISLAND,SMALLPOX,1939,0,1
VA,VIRGINIA,SMALLPOX,1939,0,1
VT,VERMONT,SMALLPOX,1939,0,1
AL,ALABAMA,SMALLPOX,1939,2,1
AR,ARKANSAS,SMALLPOX,1939,8,1
AZ,ARIZONA,SMALLPOX,1939,60,1
CA,CALIFORNIA,SMALLPOX,1939,11,1
CO,COLORADO,SMALLPOX,1939,32,1
CT,CONNECTICUT,SMALLPOX,1939,0,1
FL,FLORIDA,SMALLPOX,1939,0,1
GA,GEORGIA,SMALLPOX,1939,1,1
IA,IOWA,SMALLPOX,1939,45,1
ID,IDAHO,SMALLPOX,1939,52,1
IL,ILLINOIS,SMALLPOX,1939,6,1
IN,INDIANA,SMALLPOX,1939,44,1
KS,KANSAS,SMALLPOX,1939,14,1
KY,KENTUCKY,SMALLPOX,1939,7,1
LA,LOUISIANA,SMALLPOX,1939,1,1
MI,MICHIGAN,SMALLPOX,1939,7,1
MN,MINNESOTA,SMALLPOX,1939,20,1
MO,MISSOURI,SMALLPOX,1939,17,1
MS,MISSISSIPPI,SMALLPOX,1939,2,1
MT,MONTANA,SMALLPOX,1939,24,1
NC,NORTH CAROLINA,SMALLPOX,1939,0,1
ND,NORTH DAKOTA,SMALLPOX,1939,25,1
NE,NEBRASKA,SMALLPOX,1939,19,1
NM,NEW MEXICO,SMALLPOX,1939,12,1
NY,NEW YORK,SMALLPOX,1939,0,1
OH,OHIO,SMALLPOX,1939,8,1
OK,OKLAHOMA,SMALLPOX,1939,35,1
OR,OREGON,SMALLPOX,1939,30,1
SC,SOUTH CAROLINA,SMALLPOX,1939,0,1
SD,SOUTH DAKOTA,SMALLPOX,1939,48,1
TN,TENNESSEE,SMALLPOX,1939,7,1
TX,TEXAS,SMALLPOX,1939,8,1
UT,UTAH,SMALLPOX,1939,4,1
WA,WASHINGTON,SMALLPOX,1939,13,1
WI,WISCONSIN,SMALLPOX,1939,6,1
WV,WEST VIRGINIA,SMALLPOX,1939,1,1
WY,WYOMING,SMALLPOX,1939,20,1
AL,ALABAMA,PERTUSSIS,1939,70,1
AR,ARKANSAS,PERTUSSIS,1939,48,1
AZ,ARIZONA,PERTUSSIS,1939,213,1
CA,CALIFORNIA,PERTUSSIS,1939,124,1
CO,COLORADO,PERTUSSIS,1939,181,1
CT,CONNECTICUT,PERTUSSIS,1939,237,1
DE,DELAWARE,PERTUSSIS,1939,289,1
FL,FLORIDA,PERTUSSIS,1939,60,1
GA,GEORGIA,PERTUSSIS,1939,50,1
IA,IOWA,PERTUSSIS,1939,41,1
ID,IDAHO,PERTUSSIS,1939,42,1
IL,ILLINOIS,PERTUSSIS,1939,171,1
IN,INDIANA,PERTUSSIS,1939,70,1
KS,KANSAS,PERTUSSIS,1939,87,1
KY,KENTUCKY,PERTUSSIS,1939,67,1
LA,LOUISIANA,PERTUSSIS,1939,49,1
MA,MASSACHUSETTS,PERTUSSIS,1939,170,1
MD,MARYLAND,PERTUSSIS,1939,128,1
ME,MAINE,PERTUSSIS,1939,290,1
MI,MICHIGAN,PERTUSSIS,1939,190,1
MN,MINNESOTA,PERTUSSIS,1939,82,1
MO,MISSOURI,PERTUSSIS,1939,34,1
MT,MONTANA,PERTUSSIS,1939,137,1
NC,NORTH CAROLINA,PERTUSSIS,1939,304,1
ND,NORTH DAKOTA,PERTUSSIS,1939,137,1
NE,NEBRASKA,PERTUSSIS,1939,40,1
NH,NEW HAMPSHIRE,PERTUSSIS,1939,29,1
NJ,NEW JERSEY,PERTUSSIS,1939,324,1
NM,NEW MEXICO,PERTUSSIS,1939,287,1
NY,NEW YORK,PERTUSSIS,1939,163,1
OH,OHIO,PERTUSSIS,1939,128,1
OK,OKLAHOMA,PERTUSSIS,1939,18,1
OR,OREGON,PERTUSSIS,1939,99,1
PA,PENNSYLVANIA,PERTUSSIS,1939,175,1
RI,RHODE ISLAND,PERTUSSIS,1939,312,1
SC,SOUTH CAROLINA,PERTUSSIS,1939,154,1
SD,SOUTH DAKOTA,PERTUSSIS,1939,41,1
TN,TENNESSEE,PERTUSSIS,1939,78,1
TX,TEXAS,PERTUSSIS,1939,87,1
UT,UTAH,PERTUSSIS,1939,584,1
VA,VIRGINIA,PERTUSSIS,1939,127,1
VT,VERMONT,PERTUSSIS,1939,846,1
WA,WASHINGTON,PERTUSSIS,1939,94,1
WI,WISCONSIN,PERTUSSIS,1939,352,1
WV,WEST VIRGINIA,PERTUSSIS,1939,81,1
WY,WYOMING,PERTUSSIS,1939,189,1
AR,ARKANSAS,PERTUSSIS,1940,41,1
CT,CONNECTICUT,SMALLPOX,1940,0,1
DE,DELAWARE,SMALLPOX,1940,0,1
MA,MASSACHUSETTS,SMALLPOX,1940,0,1
MD,MARYLAND,SMALLPOX,1940,0,1
ME,MAINE,SMALLPOX,1940,0,1
NH,NEW HAMPSHIRE,SMALLPOX,1940,0,1
NJ,NEW JERSEY,SMALLPOX,1940,0,1
NV,NEVADA,SMALLPOX,1940,0,1
PA,PENNSYLVANIA,SMALLPOX,1940,0,1
RI,RHODE ISLAND,SMALLPOX,1940,0,1
VT,VERMONT,SMALLPOX,1940,0,1
AL,ALABAMA,SMALLPOX,1940,2,1
AR,ARKANSAS,SMALLPOX,1940,4,1
AZ,ARIZONA,SMALLPOX,1940,16,1
CA,CALIFORNIA,SMALLPOX,1940,3,1
CO,COLORADO,SMALLPOX,1940,22,1
FL,FLORIDA,SMALLPOX,1940,0,1
GA,GEORGIA,SMALLPOX,1940,0,1
IA,IOWA,SMALLPOX,1940,22,1
ID,IDAHO,SMALLPOX,1940,8,1
IL,ILLINOIS,SMALLPOX,1940,3,1
IN,INDIANA,SMALLPOX,1940,14,1
KS,KANSAS,SMALLPOX,1940,4,1
KY,KENTUCKY,SMALLPOX,1940,1,1
LA,LOUISIANA,SMALLPOX,1940,0,1
MI,MICHIGAN,SMALLPOX,1940,3,1
MN,MINNESOTA,SMALLPOX,1940,11,1
MO,MISSOURI,SMALLPOX,1940,6,1
MS,MISSISSIPPI,SMALLPOX,1940,1,1
MT,MONTANA,SMALLPOX,1940,5,1
NC,NORTH CAROLINA,SMALLPOX,1940,0,1
ND,NORTH DAKOTA,SMALLPOX,1940,16,1
NE,NEBRASKA,SMALLPOX,1940,7,1
NM,NEW MEXICO,SMALLPOX,1940,3,1
NY,NEW YORK,SMALLPOX,1940,0,1
OH,OHIO,SMALLPOX,1940,3,1
OK,OKLAHOMA,SMALLPOX,1940,16,1
OR,OREGON,SMALLPOX,1940,12,1
SC,SOUTH CAROLINA,SMALLPOX,1940,0,1
SD,SOUTH DAKOTA,SMALLPOX,1940,20,1
TN,TENNESSEE,SMALLPOX,1940,2,1
TX,TEXAS,SMALLPOX,1940,4,1
UT,UTAH,SMALLPOX,1940,3,1
VA,VIRGINIA,SMALLPOX,1940,0,1
WA,WASHINGTON,SMALLPOX,1940,2,1
WI,WISCONSIN,SMALLPOX,1940,6,1
WV,WEST VIRGINIA,SMALLPOX,1940,1,1
WY,WYOMING,SMALLPOX,1940,4,1
AL,ALABAMA,PERTUSSIS,1940,43,1
AZ,ARIZONA,PERTUSSIS,1940,177,1
CA,CALIFORNIA,PERTUSSIS,1940,182,1
CO,COLORADO,PERTUSSIS,1940,110,1
CT,CONNECTICUT,PERTUSSIS,1940,179,1
DE,DELAWARE,PERTUSSIS,1940,223,1
FL,FLORIDA,PERTUSSIS,1940,34,1
GA,GEORGIA,PERTUSSIS,1940,36,1
IA,IOWA,PERTUSSIS,1940,42,1
ID,IDAHO,PERTUSSIS,1940,74,1
IL,ILLINOIS,PERTUSSIS,1940,106,1
IN,INDIANA,PERTUSSIS,1940,48,1
KS,KANSAS,PERTUSSIS,1940,119,1
KY,KENTUCKY,PERTUSSIS,1940,107,1
LA,LOUISIANA,PERTUSSIS,1940,39,1
MA,MASSACHUSETTS,PERTUSSIS,1940,184,1
MD,MARYLAND,PERTUSSIS,1940,263,1
ME,MAINE,PERTUSSIS,1940,203,1
MI,MICHIGAN,PERTUSSIS,1940,207,1
MN,MINNESOTA,PERTUSSIS,1940,85,1
MO,MISSOURI,PERTUSSIS,1940,39,1
MT,MONTANA,PERTUSSIS,1940,40,1
NC,NORTH CAROLINA,PERTUSSIS,1940,196,1
ND,NORTH DAKOTA,PERTUSSIS,1940,105,1
NE,NEBRASKA,PERTUSSIS,1940,33,1
NH,NEW HAMPSHIRE,PERTUSSIS,1940,56,1
NJ,NEW JERSEY,PERTUSSIS,1940,189,1
NM,NEW MEXICO,PERTUSSIS,1940,259,1
NV,NEVADA,PERTUSSIS,1940,4,1
NY,NEW YORK,PERTUSSIS,1940,142,1
OH,OHIO,PERTUSSIS,1940,159,1
OK,OKLAHOMA,PERTUSSIS,1940,24,1
OR,OREGON,PERTUSSIS,1940,96,1
PA,PENNSYLVANIA,PERTUSSIS,1940,204,1
RI,RHODE ISLAND,PERTUSSIS,1940,117,1
SC,SOUTH CAROLINA,PERTUSSIS,1940,84,1
SD,SOUTH DAKOTA,PERTUSSIS,1940,27,1
TN,TENNESSEE,PERTUSSIS,1940,72,1
TX,TEXAS,PERTUSSIS,1940,128,1
UT,UTAH,PERTUSSIS,1940,719,1
VA,VIRGINIA,PERTUSSIS,1940,113,1
VT,VERMONT,PERTUSSIS,1940,378,1
WA,WASHINGTON,PERTUSSIS,1940,116,1
WI,WISCONSIN,PERTUSSIS,1940,225,1
WV,WEST VIRGINIA,PERTUSSIS,1940,96,1
WY,WYOMING,PERTUSSIS,1940,80,1
TX,TEXAS,SMALLPOX,1941,1,1
WA,WASHINGTON,SMALLPOX,1941,2,1
WI,WISCONSIN,SMALLPOX,1941,5,1
WV,WEST VIRGINIA,SMALLPOX,1941,0,1
WY,WYOMING,SMALLPOX,1941,1,1
AL,ALABAMA,PERTUSSIS,1941,54,1
AR,ARKANSAS,PERTUSSIS,1941,57,1
CA,CALIFORNIA,PERTUSSIS,1941,262,1
CO,COLORADO,PERTUSSIS,1941,418,1
CT,CONNECTICUT,PERTUSSIS,1941,159,1
DE,DELAWARE,PERTUSSIS,1941,100,1
FL,FLORIDA,PERTUSSIS,1941,37,1
GA,GEORGIA,PERTUSSIS,1941,40,1
IA,IOWA,PERTUSSIS,1941,65,1
ID,IDAHO,PERTUSSIS,1941,119,1
IL,ILLINOIS,PERTUSSIS,1941,95,1
IN,INDIANA,PERTUSSIS,1941,34,1
KS,KANSAS,PERTUSSIS,1941,274,1
KY,KENTUCKY,PERTUSSIS,1941,121,1
LA,LOUISIANA,PERTUSSIS,1941,16,1
MA,MASSACHUSETTS,PERTUSSIS,1941,218,1
MD,MARYLAND,PERTUSSIS,1941,187,1
ME,MAINE,PERTUSSIS,1941,141,1
MI,MICHIGAN,PERTUSSIS,1941,276,1
MN,MINNESOTA,PERTUSSIS,1941,128,1
MO,MISSOURI,PERTUSSIS,1941,47,1
MT,MONTANA,PERTUSSIS,1941,185,1
NC,NORTH CAROLINA,PERTUSSIS,1941,285,1
ND,NORTH DAKOTA,PERTUSSIS,1941,143,1
NE,NEBRASKA,PERTUSSIS,1941,53,1
NH,NEW HAMPSHIRE,PERTUSSIS,1941,94,1
NJ,NEW JERSEY,PERTUSSIS,1941,157,1
NM,NEW MEXICO,PERTUSSIS,1941,222,1
NV,NEVADA,PERTUSSIS,1941,198,1
NY,NEW YORK,PERTUSSIS,1941,134,1
OH,OHIO,PERTUSSIS,1941,214,1
OK,OKLAHOMA,PERTUSSIS,1941,49,1
OR,OREGON,PERTUSSIS,1941,100,1
PA,PENNSYLVANIA,PERTUSSIS,1941,153,1
RI,RHODE ISLAND,PERTUSSIS,1941,155,1
SC,SOUTH CAROLINA,PERTUSSIS,1941,238,1
SD,SOUTH DAKOTA,PERTUSSIS,1941,95,1
TN,TENNESSEE,PERTUSSIS,1941,86,1
TX,TEXAS,PERTUSSIS,1941,162,1
UT,UTAH,PERTUSSIS,1941,502,1
VA,VIRGINIA,PERTUSSIS,1941,147,1
VT,VERMONT,PERTUSSIS,1941,182,1
WA,WASHINGTON,PERTUSSIS,1941,258,1
WI,WISCONSIN,PERTUSSIS,1941,286,1
WV,WEST VIRGINIA,PERTUSSIS,1941,120,1
WY,WYOMING,PERTUSSIS,1941,153,1
AZ,ARIZONA,PERTUSSIS,1941,240,1
UT,UTAH,SMALLPOX,1941,0,1
VA,VIRGINIA,SMALLPOX,1941,0,1
CT,CONNECTICUT,SMALLPOX,1941,0,1
DE,DELAWARE,SMALLPOX,1941,0,1
MA,MASSACHUSETTS,SMALLPOX,1941,0,1
MD,MARYLAND,SMALLPOX,1941,0,1
ME,MAINE,SMALLPOX,1941,0,1
NH,NEW HAMPSHIRE,SMALLPOX,1941,0,1
NJ,NEW JERSEY,SMALLPOX,1941,0,1
NY,NEW YORK,SMALLPOX,1941,0,1
PA,PENNSYLVANIA,SMALLPOX,1941,0,1
RI,RHODE ISLAND,SMALLPOX,1941,0,1
VT,VERMONT,SMALLPOX,1941,0,1
FL,FLORIDA,SMALLPOX,1941,0,1
AL,ALABAMA,SMALLPOX,1941,0,1
AR,ARKANSAS,SMALLPOX,1941,2,1
AZ,ARIZONA,SMALLPOX,1941,3,1
CA,CALIFORNIA,SMALLPOX,1941,0,1
CO,COLORADO,SMALLPOX,1941,4,1
GA,GEORGIA,SMALLPOX,1941,0,1
IA,IOWA,SMALLPOX,1941,5,1
ID,IDAHO,SMALLPOX,1941,2,1
IL,ILLINOIS,SMALLPOX,1941,2,1
IN,INDIANA,SMALLPOX,1941,1,1
KS,KANSAS,SMALLPOX,1941,2,1
KY,KENTUCKY,SMALLPOX,1941,1,1
LA,LOUISIANA,SMALLPOX,1941,0,1
MI,MICHIGAN,SMALLPOX,1941,2,1
MN,MINNESOTA,SMALLPOX,1941,4,1
MO,MISSOURI,SMALLPOX,1941,3,1
MS,MISSISSIPPI,SMALLPOX,1941,1,1
MT,MONTANA,SMALLPOX,1941,1,1
NC,NORTH CAROLINA,SMALLPOX,1941,0,1
ND,NORTH DAKOTA,SMALLPOX,1941,2,1
NE,NEBRASKA,SMALLPOX,1941,1,1
NM,NEW MEXICO,SMALLPOX,1941,1,1
NV,NEVADA,SMALLPOX,1941,2,1
OH,OHIO,SMALLPOX,1941,0,1
OK,OKLAHOMA,SMALLPOX,1941,2,1
OR,OREGON,SMALLPOX,1941,6,1
SC,SOUTH CAROLINA,SMALLPOX,1941,0,1
SD,SOUTH DAKOTA,SMALLPOX,1941,10,1
TN,TENNESSEE,SMALLPOX,1941,1,1
FL,FLORIDA,SMALLPOX,1942,0,1
NH,NEW HAMPSHIRE,SMALLPOX,1942,0,1
CT,CONNECTICUT,SMALLPOX,1942,0,1
DE,DELAWARE,SMALLPOX,1942,0,1
MA,MASSACHUSETTS,SMALLPOX,1942,0,1
MD,MARYLAND,SMALLPOX,1942,0,1
ME,MAINE,SMALLPOX,1942,0,1
NJ,NEW JERSEY,SMALLPOX,1942,0,1
NY,NEW YORK,SMALLPOX,1942,0,1
RI,RHODE ISLAND,SMALLPOX,1942,0,1
UT,UTAH,SMALLPOX,1942,0,1
VA,VIRGINIA,SMALLPOX,1942,0,1
VT,VERMONT,SMALLPOX,1942,0,1
NV,NEVADA,SMALLPOX,1942,1,1
AL,ALABAMA,SMALLPOX,1942,0,1
AR,ARKANSAS,SMALLPOX,1942,3,1
AZ,ARIZONA,SMALLPOX,1942,1,1
CA,CALIFORNIA,SMALLPOX,1942,0,1
CO,COLORADO,SMALLPOX,1942,2,1
GA,GEORGIA,SMALLPOX,1942,0,1
IA,IOWA,SMALLPOX,1942,1,1
ID,IDAHO,SMALLPOX,1942,2,1
IL,ILLINOIS,SMALLPOX,1942,1,1
IN,INDIANA,SMALLPOX,1942,2,1
KS,KANSAS,SMALLPOX,1942,1,1
KY,KENTUCKY,SMALLPOX,1942,1,1
LA,LOUISIANA,SMALLPOX,1942,1,1
MI,MICHIGAN,SMALLPOX,1942,0,1
MN,MINNESOTA,SMALLPOX,1942,1,1
MO,MISSOURI,SMALLPOX,1942,2,1
MS,MISSISSIPPI,SMALLPOX,1942,1,1
MT,MONTANA,SMALLPOX,1942,1,1
NC,NORTH CAROLINA,SMALLPOX,1942,0,1
ND,NORTH DAKOTA,SMALLPOX,1942,1,1
NE,NEBRASKA,SMALLPOX,1942,1,1
NM,NEW MEXICO,SMALLPOX,1942,1,1
OH,OHIO,SMALLPOX,1942,0,1
OK,OKLAHOMA,SMALLPOX,1942,1,1
OR,OREGON,SMALLPOX,1942,2,1
PA,PENNSYLVANIA,SMALLPOX,1942,0,1
SC,SOUTH CAROLINA,SMALLPOX,1942,0,1
SD,SOUTH DAKOTA,SMALLPOX,1942,3,1
TN,TENNESSEE,SMALLPOX,1942,2,1
TX,TEXAS,SMALLPOX,1942,2,1
WA,WASHINGTON,SMALLPOX,1942,1,1
WI,WISCONSIN,SMALLPOX,1942,1,1
WV,WEST VIRGINIA,SMALLPOX,1942,0,1
WY,WYOMING,SMALLPOX,1942,2,1
AL,ALABAMA,PERTUSSIS,1942,56,1
AR,ARKANSAS,PERTUSSIS,1942,46,1
AZ,ARIZONA,PERTUSSIS,1942,204,1
CA,CALIFORNIA,PERTUSSIS,1942,156,1
CO,COLORADO,PERTUSSIS,1942,162,1
CT,CONNECTICUT,PERTUSSIS,1942,218,1
DE,DELAWARE,PERTUSSIS,1942,53,1
FL,FLORIDA,PERTUSSIS,1942,38,1
GA,GEORGIA,PERTUSSIS,1942,40,1
IA,IOWA,PERTUSSIS,1942,51,1
ID,IDAHO,PERTUSSIS,1942,52,1
IL,ILLINOIS,PERTUSSIS,1942,137,1
IN,INDIANA,PERTUSSIS,1942,54,1
KS,KANSAS,PERTUSSIS,1942,142,1
KY,KENTUCKY,PERTUSSIS,1942,108,1
LA,LOUISIANA,PERTUSSIS,1942,12,1
MA,MASSACHUSETTS,PERTUSSIS,1942,241,1
MD,MARYLAND,PERTUSSIS,1942,154,1
ME,MAINE,PERTUSSIS,1942,223,1
MI,MICHIGAN,PERTUSSIS,1942,203,1
MN,MINNESOTA,PERTUSSIS,1942,90,1
MO,MISSOURI,PERTUSSIS,1942,22,1
MS,MISSISSIPPI,PERTUSSIS,1942,0,1
MT,MONTANA,PERTUSSIS,1942,189,1
NC,NORTH CAROLINA,PERTUSSIS,1942,168,1
ND,NORTH DAKOTA,PERTUSSIS,1942,90,1
NE,NEBRASKA,PERTUSSIS,1942,37,1
NH,NEW HAMPSHIRE,PERTUSSIS,1942,64,1
NJ,NEW JERSEY,PERTUSSIS,1942,270,1
NM,NEW MEXICO,PERTUSSIS,1942,205,1
NV,NEVADA,PERTUSSIS,1942,131,1
NY,NEW YORK,PERTUSSIS,1942,163,1
OH,OHIO,PERTUSSIS,1942,148,1
OK,OKLAHOMA,PERTUSSIS,1942,24,1
OR,OREGON,PERTUSSIS,1942,95,1
PA,PENNSYLVANIA,PERTUSSIS,1942,134,1
RI,RHODE ISLAND,PERTUSSIS,1942,208,1
SC,SOUTH CAROLINA,PERTUSSIS,1942,142,1
SD,SOUTH DAKOTA,PERTUSSIS,1942,41,1
TN,TENNESSEE,PERTUSSIS,1942,66,1
TX,TEXAS,PERTUSSIS,1942,115,1
UT,UTAH,PERTUSSIS,1942,261,1
VA,VIRGINIA,PERTUSSIS,1942,85,1
VT,VERMONT,PERTUSSIS,1942,605,1
WA,WASHINGTON,PERTUSSIS,1942,158,1
WI,WISCONSIN,PERTUSSIS,1942,342,1
WV,WEST VIRGINIA,PERTUSSIS,1942,76,1
WY,WYOMING,PERTUSSIS,1942,137,1
NY,NEW YORK,PERTUSSIS,1943,121,1
CT,CONNECTICUT,SMALLPOX,1943,0,1
DE,DELAWARE,SMALLPOX,1943,0,1
MA,MASSACHUSETTS,SMALLPOX,1943,0,1
ME,MAINE,SMALLPOX,1943,0,1
NH,NEW HAMPSHIRE,SMALLPOX,1943,0,1
NY,NEW YORK,SMALLPOX,1943,0,1
RI,RHODE ISLAND,SMALLPOX,1943,0,1
VA,VIRGINIA,SMALLPOX,1943,0,1
VT,VERMONT,SMALLPOX,1943,0,1
FL,FLORIDA,SMALLPOX,1943,0,1
NJ,NEW JERSEY,SMALLPOX,1943,0,1
NV,NEVADA,SMALLPOX,1943,1,1
WY,WYOMING,SMALLPOX,1943,0,1
AL,ALABAMA,SMALLPOX,1943,1,1
AR,ARKANSAS,SMALLPOX,1943,3,1
AZ,ARIZONA,SMALLPOX,1943,1,1
CA,CALIFORNIA,SMALLPOX,1943,0,1
CO,COLORADO,SMALLPOX,1943,1,1
GA,GEORGIA,SMALLPOX,1943,0,1
IA,IOWA,SMALLPOX,1943,1,1
ID,IDAHO,SMALLPOX,1943,2,1
IL,ILLINOIS,SMALLPOX,1943,1,1
IN,INDIANA,SMALLPOX,1943,4,1
KS,KANSAS,SMALLPOX,1943,2,1
KY,KENTUCKY,SMALLPOX,1943,1,1
LA,LOUISIANA,SMALLPOX,1943,0,1
MI,MICHIGAN,SMALLPOX,1943,0,1
MN,MINNESOTA,SMALLPOX,1943,0,1
MO,MISSOURI,SMALLPOX,1943,0,1
MS,MISSISSIPPI,SMALLPOX,1943,1,1
MT,MONTANA,SMALLPOX,1943,2,1
NC,NORTH CAROLINA,SMALLPOX,1943,1,1
ND,NORTH DAKOTA,SMALLPOX,1943,1,1
NE,NEBRASKA,SMALLPOX,1943,1,1
NM,NEW MEXICO,SMALLPOX,1943,1,1
OH,OHIO,SMALLPOX,1943,2,1
OK,OKLAHOMA,SMALLPOX,1943,1,1
OR,OREGON,SMALLPOX,1943,1,1
PA,PENNSYLVANIA,SMALLPOX,1943,0,1
SC,SOUTH CAROLINA,SMALLPOX,1943,0,1
SD,SOUTH DAKOTA,SMALLPOX,1943,3,1
TN,TENNESSEE,SMALLPOX,1943,1,1
TX,TEXAS,SMALLPOX,1943,1,1
WA,WASHINGTON,SMALLPOX,1943,0,1
WI,WISCONSIN,SMALLPOX,1943,1,1
WV,WEST VIRGINIA,SMALLPOX,1943,1,1
AL,ALABAMA,PERTUSSIS,1943,71,1
AR,ARKANSAS,PERTUSSIS,1943,79,1
AZ,ARIZONA,PERTUSSIS,1943,136,1
CA,CALIFORNIA,PERTUSSIS,1943,150,1
CO,COLORADO,PERTUSSIS,1943,135,1
CT,CONNECTICUT,PERTUSSIS,1943,118,1
DE,DELAWARE,PERTUSSIS,1943,75,1
FL,FLORIDA,PERTUSSIS,1943,43,1
GA,GEORGIA,PERTUSSIS,1943,50,1
IA,IOWA,PERTUSSIS,1943,73,1
ID,IDAHO,PERTUSSIS,1943,30,1
IL,ILLINOIS,PERTUSSIS,1943,102,1
IN,INDIANA,PERTUSSIS,1943,68,1
KS,KANSAS,PERTUSSIS,1943,159,1
KY,KENTUCKY,PERTUSSIS,1943,84,1
LA,LOUISIANA,PERTUSSIS,1943,13,1
MA,MASSACHUSETTS,PERTUSSIS,1943,153,1
MD,MARYLAND,PERTUSSIS,1943,212,1
ME,MAINE,PERTUSSIS,1943,235,1
MI,MICHIGAN,PERTUSSIS,1943,219,1
MN,MINNESOTA,PERTUSSIS,1943,131,1
MO,MISSOURI,PERTUSSIS,1943,34,1
MT,MONTANA,PERTUSSIS,1943,213,1
NC,NORTH CAROLINA,PERTUSSIS,1943,222,1
ND,NORTH DAKOTA,PERTUSSIS,1943,147,1
NE,NEBRASKA,PERTUSSIS,1943,48,1
NH,NEW HAMPSHIRE,PERTUSSIS,1943,48,1
NJ,NEW JERSEY,PERTUSSIS,1943,193,1
NM,NEW MEXICO,PERTUSSIS,1943,110,1
NV,NEVADA,PERTUSSIS,1943,72,1
OH,OHIO,PERTUSSIS,1943,125,1
OK,OKLAHOMA,PERTUSSIS,1943,38,1
OR,OREGON,PERTUSSIS,1943,105,1
PA,PENNSYLVANIA,PERTUSSIS,1943,130,1
RI,RHODE ISLAND,PERTUSSIS,1943,208,1
SC,SOUTH CAROLINA,PERTUSSIS,1943,161,1
SD,SOUTH DAKOTA,PERTUSSIS,1943,50,1
TN,TENNESSEE,PERTUSSIS,1943,98,1
TX,TEXAS,PERTUSSIS,1943,230,1
UT,UTAH,PERTUSSIS,1943,364,1
VA,VIRGINIA,PERTUSSIS,1943,154,1
VT,VERMONT,PERTUSSIS,1943,373,1
WA,WASHINGTON,PERTUSSIS,1943,113,1
WI,WISCONSIN,PERTUSSIS,1943,373,1
WV,WEST VIRGINIA,PERTUSSIS,1943,138,1
WY,WYOMING,PERTUSSIS,1943,85,1
MD,MARYLAND,SMALLPOX,1943,0,1
UT,UTAH,SMALLPOX,1943,0,1
AL,ALABAMA,PERTUSSIS,1944,47,1
AR,ARKANSAS,PERTUSSIS,1944,55,1
AZ,ARIZONA,PERTUSSIS,1944,159,1
CA,CALIFORNIA,PERTUSSIS,1944,62,1
CO,COLORADO,PERTUSSIS,1944,133,1
CT,CONNECTICUT,PERTUSSIS,1944,121,1
DE,DELAWARE,PERTUSSIS,1944,28,1
FL,FLORIDA,PERTUSSIS,1944,41,1
GA,GEORGIA,PERTUSSIS,1944,24,1
IA,IOWA,PERTUSSIS,1944,26,1
ID,IDAHO,PERTUSSIS,1944,40,1
IL,ILLINOIS,PERTUSSIS,1944,49,1
IN,INDIANA,PERTUSSIS,1944,27,1
KS,KANSAS,PERTUSSIS,1944,99,1
KY,KENTUCKY,PERTUSSIS,1944,97,1
LA,LOUISIANA,PERTUSSIS,1944,6,1
MA,MASSACHUSETTS,PERTUSSIS,1944,102,1
MD,MARYLAND,PERTUSSIS,1944,151,1
ME,MAINE,PERTUSSIS,1944,125,1
MI,MICHIGAN,PERTUSSIS,1944,88,1
MN,MINNESOTA,PERTUSSIS,1944,67,1
MO,MISSOURI,PERTUSSIS,1944,26,1
MS,MISSISSIPPI,PERTUSSIS,1944,0,1
MT,MONTANA,PERTUSSIS,1944,166,1
NC,NORTH CAROLINA,PERTUSSIS,1944,185,1
ND,NORTH DAKOTA,PERTUSSIS,1944,85,1
NE,NEBRASKA,PERTUSSIS,1944,47,1
NH,NEW HAMPSHIRE,PERTUSSIS,1944,24,1
NJ,NEW JERSEY,PERTUSSIS,1944,87,1
NM,NEW MEXICO,PERTUSSIS,1944,42,1
NV,NEVADA,PERTUSSIS,1944,56,1
NY,NEW YORK,PERTUSSIS,1944,72,1
OH,OHIO,PERTUSSIS,1944,87,1
OK,OKLAHOMA,PERTUSSIS,1944,21,1
OR,OREGON,PERTUSSIS,1944,64,1
PA,PENNSYLVANIA,PERTUSSIS,1944,64,1
RI,RHODE ISLAND,PERTUSSIS,1944,82,1
SC,SOUTH CAROLINA,PERTUSSIS,1944,175,1
SD,SOUTH DAKOTA,PERTUSSIS,1944,65,1
TN,TENNESSEE,PERTUSSIS,1944,49,1
TX,TEXAS,PERTUSSIS,1944,148,1
UT,UTAH,PERTUSSIS,1944,298,1
VA,VIRGINIA,PERTUSSIS,1944,91,1
VT,VERMONT,PERTUSSIS,1944,389,1
WA,WASHINGTON,PERTUSSIS,1944,73,1
WI,WISCONSIN,PERTUSSIS,1944,174,1
WV,WEST VIRGINIA,PERTUSSIS,1944,81,1
WY,WYOMING,PERTUSSIS,1944,152,1
AL,ALABAMA,PERTUSSIS,1945,39,1
AR,ARKANSAS,PERTUSSIS,1945,39,1
AZ,ARIZONA,PERTUSSIS,1945,143,1
CA,CALIFORNIA,PERTUSSIS,1945,120,1
CO,COLORADO,PERTUSSIS,1945,152,1
CT,CONNECTICUT,PERTUSSIS,1945,136,1
DE,DELAWARE,PERTUSSIS,1945,35,1
FL,FLORIDA,PERTUSSIS,1945,22,1
GA,GEORGIA,PERTUSSIS,1945,27,1
