State Code,State,disease,Calendar Year,# Incidents Per 100000 Per Location,Vaccine has been introduced Flag
AZ,ARIZONA,SMALLPOX,1930,126,1
CA,CALIFORNIA,SMALLPOX,1930,40,1
CO,COLORADO,SMALLPOX,1930,54,1
FL,FLORIDA,SMALLPOX,1930,2,1
IA,IOWA,SMALLPOX,1930,123,1
ID,IDAHO,SMALLPOX,1930,45,1
IL,ILLINOIS,SMALLPOX,1930,51,1
IN,INDIANA,SMALLPOX,1930,162,1
KS,KANSAS,SMALLPOX,1930,123,1
KY,KENTUCKY,SMALLPOX,1930,21,1
LA,LOUISIANA,SMALLPOX,1930,12,1
MI,MICHIGAN,SMALLPOX,1930,49,1
MN,MINNESOTA,SMALLPOX,1930,12,1
MO,MISSOURI,SMALLPOX,1930,44,1
MS,MISSISSIPPI,SMALLPOX,1930,9,1
MT,MONTANA,SMALLPOX,1930,66,1
NC,NORTH CAROLINA,SMALLPOX,1930,18,1
ND,NORTH DAKOTA,SMALLPOX,1930,107,1
NE,NEBRASKA,SMALLPOX,1930,140,1
NM,NEW MEXICO,SMALLPOX,1930,41,1
NY,NEW YORK,SMALLPOX,1930,3,1
OH,OHIO,SMALLPOX,1930,78,1
OK,OKLAHOMA,SMALLPOX,1930,110,1
OR,OREGON,SMALLPOX,1930,82,1
PA,PENNSYLVANIA,SMALLPOX,1930,0,1
SC,SOUTH CAROLINA,SMALLPOX,1930,5,1
SD,SOUTH DAKOTA,SMALLPOX,1930,201,1
TN,TENNESSEE,SMALLPOX,1930,16,1
TX,TEXAS,SMALLPOX,1930,47,1
UT,UTAH,SMALLPOX,1930,5,1
VA,VIRGINIA,SMALLPOX,1930,0,1
VT,VERMONT,SMALLPOX,1930,22,1
WA,WASHINGTON,SMALLPOX,1930,150,1
WI,WISCONSIN,SMALLPOX,1930,31,1
WV,WEST VIRGINIA,SMALLPOX,1930,45,1
WY,WYOMING,SMALLPOX,1930,111,1
NJ,NEW JERSEY,SMALLPOX,1930,0,1
MD,MARYLAND,SMALLPOX,1931,0,1
ME,MAINE,SMALLPOX,1931,0,1
DE,DELAWARE,SMALLPOX,1931,0,1
RI,RHODE ISLAND,SMALLPOX,1931,0,1
NH,NEW HAMPSHIRE,SMALLPOX,1931,0,1
AL,ALABAMA,SMALLPOX,1931,11,1
AR,ARKANSAS,SMALLPOX,1931,41,1
AZ,ARIZONA,SMALLPOX,1931,11,1
CA,CALIFORNIA,SMALLPOX,1931,24,1
CO,COLORADO,SMALLPOX,1931,25,1
CT,CONNECTICUT,SMALLPOX,1931,6,1
FL,FLORIDA,SMALLPOX,1931,2,1
GA,GEORGIA,SMALLPOX,1931,2,1
IA,IOWA,SMALLPOX,1931,94,1
ID,IDAHO,SMALLPOX,1931,18,1
IL,ILLINOIS,SMALLPOX,1931,23,1
IN,INDIANA,SMALLPOX,1931,91,1
KS,KANSAS,SMALLPOX,1931,137,1
KY,KENTUCKY,SMALLPOX,1931,13,1
LA,LOUISIANA,SMALLPOX,1931,30,1
MA,MASSACHUSETTS,SMALLPOX,1931,0,1
MI,MICHIGAN,SMALLPOX,1931,19,1
MN,MINNESOTA,SMALLPOX,1931,9,1
MO,MISSOURI,SMALLPOX,1931,30,1
MS,MISSISSIPPI,SMALLPOX,1931,50,1
MT,MONTANA,SMALLPOX,1931,27,1
NC,NORTH CAROLINA,SMALLPOX,1931,2,1
ND,NORTH DAKOTA,SMALLPOX,1931,62,1
NE,NEBRASKA,SMALLPOX,1931,88,1
NJ,NEW JERSEY,SMALLPOX,1931,0,1
NM,NEW MEXICO,SMALLPOX,1931,14,1
NY,NEW YORK,SMALLPOX,1931,3,1
OH,OHIO,SMALLPOX,1931,27,1
OK,OKLAHOMA,SMALLPOX,1931,85,1
OR,OREGON,SMALLPOX,1931,80,1
PA,PENNSYLVANIA,SMALLPOX,1931,0,1
SC,SOUTH CAROLINA,SMALLPOX,1931,4,1
SD,SOUTH DAKOTA,SMALLPOX,1931,96,1
TN,TENNESSEE,SMALLPOX,1931,13,1
TX,TEXAS,SMALLPOX,1931,30,1
UT,UTAH,SMALLPOX,1931,3,1
VA,VIRGINIA,SMALLPOX,1931,0,1
VT,VERMONT,SMALLPOX,1931,66,1
WA,WASHINGTON,SMALLPOX,1931,66,1
WI,WISCONSIN,SMALLPOX,1931,12,1
WV,WEST VIRGINIA,SMALLPOX,1931,14,1
WY,WYOMING,SMALLPOX,1931,24,1
DE,DELAWARE,SMALLPOX,1932,0,1
MD,MARYLAND,SMALLPOX,1932,0,1
NJ,NEW JERSEY,SMALLPOX,1932,0,1
RI,RHODE ISLAND,SMALLPOX,1932,0,1
NH,NEW HAMPSHIRE,SMALLPOX,1932,0,1
AL,ALABAMA,SMALLPOX,1932,18,1
AR,ARKANSAS,SMALLPOX,1932,20,1
AZ,ARIZONA,SMALLPOX,1932,2,1
CA,CALIFORNIA,SMALLPOX,1932,8,1
CO,COLORADO,SMALLPOX,1932,6,1
CT,CONNECTICUT,SMALLPOX,1932,5,1
FL,FLORIDA,SMALLPOX,1932,2,1
GA,GEORGIA,SMALLPOX,1932,1,1
IA,IOWA,SMALLPOX,1932,47,1
ID,IDAHO,SMALLPOX,1932,19,1
IL,ILLINOIS,SMALLPOX,1932,4,1
IN,INDIANA,SMALLPOX,1932,12,1
KS,KANSAS,SMALLPOX,1932,9,1
KY,KENTUCKY,SMALLPOX,1932,6,1
LA,LOUISIANA,SMALLPOX,1932,7,1
MA,MASSACHUSETTS,SMALLPOX,1932,1,1
MI,MICHIGAN,SMALLPOX,1932,5,1
MN,MINNESOTA,SMALLPOX,1932,4,1
MO,MISSOURI,SMALLPOX,1932,6,1
MS,MISSISSIPPI,SMALLPOX,1932,26,1
MT,MONTANA,SMALLPOX,1932,25,1
NC,NORTH CAROLINA,SMALLPOX,1932,2,1
ND,NORTH DAKOTA,SMALLPOX,1932,36,1
NE,NEBRASKA,SMALLPOX,1932,22,1
NM,NEW MEXICO,SMALLPOX,1932,5,1
NY,NEW YORK,SMALLPOX,1932,1,1
OH,OHIO,SMALLPOX,1932,15,1
OK,OKLAHOMA,SMALLPOX,1932,22,1
OR,OREGON,SMALLPOX,1932,40,1
PA,PENNSYLVANIA,SMALLPOX,1932,0,1
SC,SOUTH CAROLINA,SMALLPOX,1932,1,1
SD,SOUTH DAKOTA,SMALLPOX,1932,23,1
TN,TENNESSEE,SMALLPOX,1932,16,1
TX,TEXAS,SMALLPOX,1932,18,1
UT,UTAH,SMALLPOX,1932,1,1
VA,VIRGINIA,SMALLPOX,1932,0,1
VT,VERMONT,SMALLPOX,1932,49,1
WA,WASHINGTON,SMALLPOX,1932,42,1
WI,WISCONSIN,SMALLPOX,1932,3,1
WV,WEST VIRGINIA,SMALLPOX,1932,4,1
WY,WYOMING,SMALLPOX,1932,10,1
ME,MAINE,SMALLPOX,1932,0,1
NJ,NEW JERSEY,SMALLPOX,1933,0,1
FL,FLORIDA,SMALLPOX,1933,0,1
DE,DELAWARE,SMALLPOX,1933,0,1
MA,MASSACHUSETTS,SMALLPOX,1933,0,1
MD,MARYLAND,SMALLPOX,1933,0,1
ME,MAINE,SMALLPOX,1933,0,1
NH,NEW HAMPSHIRE,SMALLPOX,1933,0,1
PA,PENNSYLVANIA,SMALLPOX,1933,0,1
RI,RHODE ISLAND,SMALLPOX,1933,0,1
AL,ALABAMA,SMALLPOX,1933,3,1
AR,ARKANSAS,SMALLPOX,1933,12,1
AZ,ARIZONA,SMALLPOX,1933,2,1
CA,CALIFORNIA,SMALLPOX,1933,18,1
CO,COLORADO,SMALLPOX,1933,16,1
CT,CONNECTICUT,SMALLPOX,1933,2,1
GA,GEORGIA,SMALLPOX,1933,2,1
IA,IOWA,SMALLPOX,1933,30,1
ID,IDAHO,SMALLPOX,1933,42,1
IL,ILLINOIS,SMALLPOX,1933,3,1
IN,INDIANA,SMALLPOX,1933,3,1
KS,KANSAS,SMALLPOX,1933,3,1
KY,KENTUCKY,SMALLPOX,1933,1,1
LA,LOUISIANA,SMALLPOX,1933,3,1
MI,MICHIGAN,SMALLPOX,1933,1,1
MN,MINNESOTA,SMALLPOX,1933,2,1
MO,MISSOURI,SMALLPOX,1933,3,1
MS,MISSISSIPPI,SMALLPOX,1933,2,1
MT,MONTANA,SMALLPOX,1933,7,1
NC,NORTH CAROLINA,SMALLPOX,1933,1,1
ND,NORTH DAKOTA,SMALLPOX,1933,4,1
NE,NEBRASKA,SMALLPOX,1933,10,1
NM,NEW MEXICO,SMALLPOX,1933,4,1
NY,NEW YORK,SMALLPOX,1933,0,1
OH,OHIO,SMALLPOX,1933,4,1
OK,OKLAHOMA,SMALLPOX,1933,7,1
OR,OREGON,SMALLPOX,1933,32,1
SC,SOUTH CAROLINA,SMALLPOX,1933,1,1
SD,SOUTH DAKOTA,SMALLPOX,1933,3,1
TN,TENNESSEE,SMALLPOX,1933,2,1
TX,TEXAS,SMALLPOX,1933,14,1
UT,UTAH,SMALLPOX,1933,5,1
VA,VIRGINIA,SMALLPOX,1933,0,1
VT,VERMONT,SMALLPOX,1933,1,1
WA,WASHINGTON,SMALLPOX,1933,18,1
WI,WISCONSIN,SMALLPOX,1933,18,1
WV,WEST VIRGINIA,SMALLPOX,1933,3,1
WY,WYOMING,SMALLPOX,1933,2,1
MA,MASSACHUSETTS,SMALLPOX,1934,0,1
MD,MARYLAND,SMALLPOX,1934,0,1
ME,MAINE,SMALLPOX,1934,0,1
NJ,NEW JERSEY,SMALLPOX,1934,0,1
NY,NEW YORK,SMALLPOX,1934,0,1
PA,PENNSYLVANIA,SMALLPOX,1934,0,1
RI,RHODE ISLAND,SMALLPOX,1934,0,1
VT,VERMONT,SMALLPOX,1934,0,1
NH,NEW HAMPSHIRE,SMALLPOX,1934,0,1
AL,ALABAMA,SMALLPOX,1934,1,1
AR,ARKANSAS,SMALLPOX,1934,6,1
AZ,ARIZONA,SMALLPOX,1934,1,1
CA,CALIFORNIA,SMALLPOX,1934,3,1
CO,COLORADO,SMALLPOX,1934,14,1
FL,FLORIDA,SMALLPOX,1934,0,1
GA,GEORGIA,SMALLPOX,1934,0,1
IA,IOWA,SMALLPOX,1934,7,1
ID,IDAHO,SMALLPOX,1934,22,1
IL,ILLINOIS,SMALLPOX,1934,1,1
IN,INDIANA,SMALLPOX,1934,2,1
KS,KANSAS,SMALLPOX,1934,6,1
KY,KENTUCKY,SMALLPOX,1934,1,1
LA,LOUISIANA,SMALLPOX,1934,3,1
MI,MICHIGAN,SMALLPOX,1934,1,1
MN,MINNESOTA,SMALLPOX,1934,12,1
MO,MISSOURI,SMALLPOX,1934,5,1
MS,MISSISSIPPI,SMALLPOX,1934,1,1
MT,MONTANA,SMALLPOX,1934,4,1
NC,NORTH CAROLINA,SMALLPOX,1934,1,1
ND,NORTH DAKOTA,SMALLPOX,1934,4,1
NE,NEBRASKA,SMALLPOX,1934,16,1
NM,NEW MEXICO,SMALLPOX,1934,3,1
OH,OHIO,SMALLPOX,1934,0,1
OK,OKLAHOMA,SMALLPOX,1934,4,1
